Make,Model,Year,Problem,Symptoms,Solution,Cost,Difficulty
Kia,Sportage,2018,Engine Oil Leak,"Burning smell, Low oil level, Oil spots under the car",Replace gaskets,$487,Medium
Ford,F-150,2019,Engine Oil Leak,"Low oil level, Burning smell",Fix the leak,$253,Medium
Mercedes,C-Class,2022,Faulty Spark Plugs,"Increased fuel consumption, Engine vibration",Replace spark plugs,$118,Easy
Kia,Sportage,2020,Brake Issues,Increased stopping distance,Replace brake pads,$208,Medium
Hyundai,Sonata,2022,Cooling System Issues,"Coolant leakage, Engine overheating",Replace water pump,$349,Medium
Ford,F-150,2022,Cooling System Issues,"Engine overheating, Burning smell, Coolant leakage",Inspect cooling system,$754,Medium
Ford,F-150,2007,Engine Oil Leak,Low oil level,Fix the leak,$516,Medium
BMW,X5,2020,Dead Battery,"Dim lights, Weak sound when starting",Charge the battery,$104,Easy
Honda,Civic,2015,Faulty Spark Plugs,"Increased fuel consumption, Engine vibration, Poor acceleration",Replace spark plugs,$256,Easy
Nissan,Patrol,2016,Brake Issues,"Squeaking when braking, Increased stopping distance",Inspect brake system,$165,Medium
Toyota,Corolla,2015,Tire Issues,"Uneven tire wear, Low tire pressure",Replace tires,$230,Easy
Mercedes,C-Class,2018,Electrical System Issues,Warning light on dashboard,Replace fuses,$471,Medium
Hyundai,Sonata,2010,Suspension Issues,Car vibration over bumps,Inspect suspension system,$515,Hard
Hyundai,Sonata,2016,Suspension Issues,"Squeaking noise from underneath, Car vibration over bumps, Car swaying",Replace shock absorbers,$986,Hard
Kia,Sportage,2020,Engine Oil Leak,"Oil spots under the car, Low oil level",Replace gaskets,$541,Medium
Toyota,Corolla,2015,Tire Issues,Car vibration,Replace tires,$218,Easy
Honda,Civic,2014,Tire Issues,"Low tire pressure, Car vibration",Replace tires,$198,Easy
Mercedes,C-Class,2018,Exhaust System Issues,"Strong fuel smell, Loud exhaust noise",Inspect exhaust system,$744,Hard
BMW,X5,2012,Electrical System Issues,Failure to turn on lights,Replace fuses,$330,Medium
Ford,F-150,2005,Exhaust System Issues,"Loud exhaust noise, Black smoke emission",Replace catalytic converter,$504,Hard
Ford,F-150,2005,Tire Issues,"Car vibration, Low tire pressure, Uneven tire wear",Balance tires,$198,Easy
Mercedes,C-Class,2014,Engine Oil Leak,Low oil level,Replace gaskets,$558,Medium
Kia,Sportage,2010,Faulty Spark Plugs,"Poor acceleration, Increased fuel consumption",Replace spark plugs,$262,Easy
Nissan,Patrol,2012,Cooling System Issues,"Burning smell, Coolant leakage, Engine overheating",Inspect cooling system,$362,Medium
Honda,Civic,2010,Cooling System Issues,Coolant leakage,Replace water pump,$345,Medium
Hyundai,Sonata,2016,Electrical System Issues,"Weak battery charging, Warning light on dashboard",Inspect electrical wiring,$449,Medium
Chevrolet,Camaro,2010,Dead Battery,Weak sound when starting,Replace the battery,$159,Easy
Mercedes,C-Class,2010,Brake Issues,"Steering wheel vibration, Squeaking when braking",Inspect brake system,$316,Medium
Hyundai,Sonata,2017,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$169,Easy
Kia,Sportage,2013,Engine Oil Leak,Oil spots under the car,Replace gaskets,$572,Medium
Mercedes,C-Class,2013,Dead Battery,"Dim lights, Car won't start, Weak sound when starting",Charge the battery,$141,Easy
Honda,Civic,2015,Tire Issues,"Uneven tire wear, Car vibration, Low tire pressure",Balance tires,$269,Easy
BMW,X5,2018,Suspension Issues,"Squeaking noise from underneath, Car swaying",Inspect suspension system,$546,Hard
Nissan,Patrol,2004,Brake Issues,Steering wheel vibration,Replace brake pads,$388,Medium
Toyota,Corolla,2019,Engine Oil Leak,"Oil spots under the car, Low oil level",Fix the leak,$476,Medium
Ford,F-150,2011,Cooling System Issues,"Burning smell, Coolant leakage",Inspect cooling system,$641,Medium
Toyota,Corolla,2017,Suspension Issues,Car swaying,Replace shock absorbers,$831,Hard
Ford,F-150,2008,Faulty Spark Plugs,"Poor acceleration, Increased fuel consumption, Engine vibration",Replace spark plugs,$151,Easy
Chevrolet,Camaro,2021,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard, Weak battery charging",Replace fuses,$113,Medium
Mercedes,C-Class,2011,Suspension Issues,"Car swaying, Car vibration over bumps, Squeaking noise from underneath",Inspect suspension system,$896,Hard
Kia,Sportage,2018,Cooling System Issues,"Coolant leakage, Burning smell, Engine overheating",Replace water pump,$393,Medium
Chevrolet,Camaro,2012,Cooling System Issues,"Engine overheating, Burning smell",Replace water pump,$775,Medium
Hyundai,Sonata,2015,Suspension Issues,Car vibration over bumps,Replace shock absorbers,$626,Hard
Ford,F-150,2017,Suspension Issues,Car swaying,Replace shock absorbers,$705,Hard
Hyundai,Sonata,2017,Suspension Issues,"Car swaying, Car vibration over bumps, Squeaking noise from underneath",Inspect suspension system,$425,Hard
Audi,A4,2011,Engine Oil Leak,"Burning smell, Oil spots under the car",Fix the leak,$390,Medium
Mercedes,C-Class,2021,Dead Battery,Dim lights,Charge the battery,$156,Easy
Toyota,Corolla,2016,Suspension Issues,Car vibration over bumps,Inspect suspension system,$973,Hard
Kia,Sportage,2011,Cooling System Issues,Engine overheating,Replace water pump,$487,Medium
Kia,Sportage,2017,Electrical System Issues,Warning light on dashboard,Inspect electrical wiring,$211,Medium
Toyota,Corolla,2019,Faulty Spark Plugs,"Engine vibration, Increased fuel consumption, Poor acceleration",Replace spark plugs,$248,Easy
Hyundai,Sonata,2018,Cooling System Issues,"Coolant leakage, Burning smell, Engine overheating",Replace water pump,$590,Medium
Mercedes,C-Class,2021,Cooling System Issues,Burning smell,Replace water pump,$349,Medium
Kia,Sportage,2016,Engine Oil Leak,Burning smell,Replace gaskets,$510,Medium
Hyundai,Sonata,2023,Faulty Spark Plugs,"Increased fuel consumption, Poor acceleration, Engine vibration",Replace spark plugs,$208,Easy
Toyota,Corolla,2016,Cooling System Issues,"Engine overheating, Coolant leakage, Burning smell",Inspect cooling system,$402,Medium
Ford,F-150,2018,Dead Battery,"Car won't start, Weak sound when starting",Replace the battery,$127,Easy
BMW,X5,2012,Suspension Issues,"Car swaying, Car vibration over bumps, Squeaking noise from underneath",Inspect suspension system,$792,Hard
Audi,A4,2016,Electrical System Issues,Weak battery charging,Inspect electrical wiring,$356,Medium
Chevrolet,Camaro,2020,Electrical System Issues,Weak battery charging,Replace fuses,$336,Medium
Honda,Civic,2017,Suspension Issues,"Car vibration over bumps, Squeaking noise from underneath",Inspect suspension system,$680,Hard
Kia,Sportage,2016,Engine Oil Leak,"Oil spots under the car, Low oil level",Replace gaskets,$265,Medium
Audi,A4,2022,Suspension Issues,"Squeaking noise from underneath, Car vibration over bumps, Car swaying",Inspect suspension system,$587,Hard
Audi,A4,2012,Exhaust System Issues,"Strong fuel smell, Black smoke emission, Loud exhaust noise",Inspect exhaust system,$666,Hard
Nissan,Patrol,2011,Electrical System Issues,"Warning light on dashboard, Failure to turn on lights",Replace fuses,$446,Medium
Audi,A4,2013,Cooling System Issues,Coolant leakage,Replace water pump,$688,Medium
BMW,X5,2010,Cooling System Issues,"Burning smell, Engine overheating",Inspect cooling system,$423,Medium
Nissan,Patrol,2012,Suspension Issues,"Car vibration over bumps, Squeaking noise from underneath, Car swaying",Inspect suspension system,$784,Hard
Audi,A4,2011,Faulty Spark Plugs,Increased fuel consumption,Replace spark plugs,$182,Easy
Kia,Sportage,2023,Dead Battery,"Weak sound when starting, Car won't start, Dim lights",Charge the battery,$50,Easy
Honda,Civic,2013,Exhaust System Issues,"Black smoke emission, Strong fuel smell",Replace catalytic converter,$964,Hard
Hyundai,Sonata,2014,Electrical System Issues,"Failure to turn on lights, Weak battery charging, Warning light on dashboard",Replace fuses,$382,Medium
Kia,Sportage,2017,Engine Oil Leak,"Oil spots under the car, Burning smell, Low oil level",Fix the leak,$251,Medium
Chevrolet,Camaro,2018,Faulty Spark Plugs,Increased fuel consumption,Replace spark plugs,$273,Easy
Honda,Civic,2020,Suspension Issues,"Car vibration over bumps, Car swaying, Squeaking noise from underneath",Replace shock absorbers,$581,Hard
Mercedes,C-Class,2022,Cooling System Issues,"Engine overheating, Burning smell",Replace water pump,$701,Medium
Honda,Civic,2023,Tire Issues,Car vibration,Replace tires,$140,Easy
Audi,A4,2023,Suspension Issues,Squeaking noise from underneath,Inspect suspension system,$699,Hard
Chevrolet,Camaro,2019,Faulty Spark Plugs,Increased fuel consumption,Replace spark plugs,$128,Easy
Kia,Sportage,2012,Faulty Spark Plugs,"Poor acceleration, Increased fuel consumption, Engine vibration",Replace spark plugs,$134,Easy
Audi,A4,2013,Cooling System Issues,"Burning smell, Coolant leakage, Engine overheating",Replace water pump,$396,Medium
Audi,A4,2019,Brake Issues,Steering wheel vibration,Replace brake pads,$159,Medium
Ford,F-150,2011,Dead Battery,Weak sound when starting,Charge the battery,$194,Easy
Nissan,Patrol,2015,Dead Battery,Car won't start,Replace the battery,$87,Easy
BMW,X5,2010,Dead Battery,"Dim lights, Car won't start, Weak sound when starting",Replace the battery,$118,Easy
Hyundai,Sonata,2019,Cooling System Issues,"Coolant leakage, Burning smell",Inspect cooling system,$447,Medium
Toyota,Corolla,2022,Suspension Issues,"Squeaking noise from underneath, Car swaying, Car vibration over bumps",Replace shock absorbers,$858,Hard
Kia,Sportage,2017,Electrical System Issues,"Weak battery charging, Failure to turn on lights, Warning light on dashboard",Inspect electrical wiring,$338,Medium
Ford,F-150,2020,Brake Issues,Steering wheel vibration,Replace brake pads,$255,Medium
Ford,F-150,2008,Engine Oil Leak,Low oil level,Replace gaskets,$422,Medium
BMW,X5,2020,Exhaust System Issues,Black smoke emission,Inspect exhaust system,$1125,Hard
Toyota,Corolla,2021,Engine Oil Leak,"Oil spots under the car, Burning smell",Replace gaskets,$309,Medium
Mercedes,C-Class,2018,Exhaust System Issues,Strong fuel smell,Replace catalytic converter,$837,Hard
Mercedes,C-Class,2014,Exhaust System Issues,"Black smoke emission, Loud exhaust noise",Inspect exhaust system,$1196,Hard
Chevrolet,Camaro,2023,Brake Issues,Steering wheel vibration,Replace brake pads,$260,Medium
Hyundai,Sonata,2013,Dead Battery,"Car won't start, Weak sound when starting",Replace the battery,$121,Easy
Nissan,Patrol,2015,Faulty Spark Plugs,Poor acceleration,Replace spark plugs,$140,Easy
Chevrolet,Camaro,2023,Exhaust System Issues,"Strong fuel smell, Black smoke emission",Inspect exhaust system,$947,Hard
Ford,F-150,2021,Engine Oil Leak,"Low oil level, Oil spots under the car",Replace gaskets,$438,Medium
BMW,X5,2014,Engine Oil Leak,Low oil level,Replace gaskets,$374,Medium
Nissan,Patrol,2021,Engine Oil Leak,"Low oil level, Oil spots under the car",Replace gaskets,$211,Medium
Hyundai,Sonata,2022,Exhaust System Issues,"Loud exhaust noise, Strong fuel smell",Replace catalytic converter,$1125,Hard
Honda,Civic,2012,Engine Oil Leak,"Oil spots under the car, Burning smell, Low oil level",Fix the leak,$377,Medium
Nissan,Patrol,2009,Suspension Issues,"Squeaking noise from underneath, Car swaying",Replace shock absorbers,$939,Hard
Hyundai,Sonata,2015,Engine Oil Leak,Low oil level,Replace gaskets,$366,Medium
Hyundai,Sonata,2010,Electrical System Issues,Warning light on dashboard,Inspect electrical wiring,$262,Medium
Audi,A4,2021,Cooling System Issues,"Burning smell, Engine overheating, Coolant leakage",Replace water pump,$678,Medium
Toyota,Corolla,2017,Dead Battery,"Dim lights, Weak sound when starting",Charge the battery,$60,Easy
Nissan,Patrol,2022,Faulty Spark Plugs,Poor acceleration,Replace spark plugs,$123,Easy
BMW,X5,2013,Brake Issues,"Increased stopping distance, Steering wheel vibration",Inspect brake system,$294,Medium
Toyota,Corolla,2018,Brake Issues,"Increased stopping distance, Steering wheel vibration",Inspect brake system,$179,Medium
Kia,Sportage,2017,Cooling System Issues,"Engine overheating, Coolant leakage, Burning smell",Replace water pump,$372,Medium
Nissan,Patrol,2009,Faulty Spark Plugs,Poor acceleration,Replace spark plugs,$193,Easy
Ford,F-150,2007,Exhaust System Issues,"Strong fuel smell, Loud exhaust noise, Black smoke emission",Replace catalytic converter,$1100,Hard
Ford,F-150,2006,Faulty Spark Plugs,"Engine vibration, Increased fuel consumption, Poor acceleration",Replace spark plugs,$250,Easy
Audi,A4,2012,Electrical System Issues,"Warning light on dashboard, Failure to turn on lights, Weak battery charging",Replace fuses,$287,Medium
BMW,X5,2017,Electrical System Issues,"Failure to turn on lights, Weak battery charging, Warning light on dashboard",Inspect electrical wiring,$479,Medium
Audi,A4,2018,Dead Battery,Dim lights,Charge the battery,$121,Easy
Hyundai,Sonata,2016,Electrical System Issues,"Warning light on dashboard, Failure to turn on lights",Replace fuses,$299,Medium
Honda,Civic,2015,Dead Battery,Car won't start,Replace the battery,$193,Easy
Kia,Sportage,2014,Suspension Issues,"Car vibration over bumps, Squeaking noise from underneath",Inspect suspension system,$678,Hard
Toyota,Corolla,2021,Electrical System Issues,Warning light on dashboard,Inspect electrical wiring,$235,Medium
Honda,Civic,2021,Dead Battery,Dim lights,Replace the battery,$86,Easy
Kia,Sportage,2023,Faulty Spark Plugs,"Poor acceleration, Engine vibration",Replace spark plugs,$218,Easy
Mercedes,C-Class,2023,Exhaust System Issues,Strong fuel smell,Inspect exhaust system,$1010,Hard
Kia,Sportage,2018,Cooling System Issues,"Burning smell, Coolant leakage, Engine overheating",Inspect cooling system,$673,Medium
Hyundai,Sonata,2018,Faulty Spark Plugs,Engine vibration,Replace spark plugs,$150,Easy
Mercedes,C-Class,2013,Exhaust System Issues,Black smoke emission,Inspect exhaust system,$617,Hard
Ford,F-150,2016,Cooling System Issues,Coolant leakage,Inspect cooling system,$581,Medium
Ford,F-150,2021,Dead Battery,"Car won't start, Dim lights, Weak sound when starting",Replace the battery,$117,Easy
Honda,Civic,2015,Dead Battery,Dim lights,Charge the battery,$130,Easy
Toyota,Corolla,2018,Suspension Issues,Car vibration over bumps,Replace shock absorbers,$721,Hard
Chevrolet,Camaro,2023,Suspension Issues,"Squeaking noise from underneath, Car vibration over bumps",Inspect suspension system,$987,Hard
Nissan,Patrol,2010,Cooling System Issues,"Engine overheating, Burning smell, Coolant leakage",Replace water pump,$757,Medium
Ford,F-150,2018,Dead Battery,"Dim lights, Car won't start, Weak sound when starting",Charge the battery,$78,Easy
Toyota,Corolla,2023,Suspension Issues,"Car swaying, Car vibration over bumps",Inspect suspension system,$677,Hard
Kia,Sportage,2018,Faulty Spark Plugs,Poor acceleration,Replace spark plugs,$239,Easy
Audi,A4,2022,Brake Issues,Squeaking when braking,Inspect brake system,$250,Medium
Nissan,Patrol,2009,Engine Oil Leak,"Oil spots under the car, Burning smell",Replace gaskets,$507,Medium
Ford,F-150,2018,Brake Issues,"Increased stopping distance, Steering wheel vibration, Squeaking when braking",Inspect brake system,$359,Medium
Chevrolet,Camaro,2022,Brake Issues,"Squeaking when braking, Increased stopping distance, Steering wheel vibration",Inspect brake system,$176,Medium
Ford,F-150,2011,Engine Oil Leak,"Burning smell, Oil spots under the car",Fix the leak,$315,Medium
Honda,Civic,2022,Brake Issues,"Squeaking when braking, Steering wheel vibration",Inspect brake system,$396,Medium
Toyota,Corolla,2015,Cooling System Issues,"Engine overheating, Burning smell, Coolant leakage",Replace water pump,$396,Medium
Audi,A4,2021,Dead Battery,Car won't start,Replace the battery,$130,Easy
Nissan,Patrol,2014,Brake Issues,"Squeaking when braking, Steering wheel vibration",Inspect brake system,$380,Medium
Audi,A4,2015,Engine Oil Leak,"Oil spots under the car, Low oil level",Replace gaskets,$497,Medium
Mercedes,C-Class,2016,Faulty Spark Plugs,"Increased fuel consumption, Poor acceleration",Replace spark plugs,$272,Easy
Audi,A4,2010,Tire Issues,"Car vibration, Low tire pressure",Replace tires,$248,Easy
Mercedes,C-Class,2014,Suspension Issues,Squeaking noise from underneath,Replace shock absorbers,$673,Hard
Nissan,Patrol,2011,Electrical System Issues,"Failure to turn on lights, Weak battery charging, Warning light on dashboard",Inspect electrical wiring,$150,Medium
Kia,Sportage,2016,Engine Oil Leak,Oil spots under the car,Replace gaskets,$217,Medium
BMW,X5,2013,Dead Battery,"Dim lights, Weak sound when starting, Car won't start",Charge the battery,$52,Easy
Honda,Civic,2021,Engine Oil Leak,"Low oil level, Oil spots under the car, Burning smell",Replace gaskets,$360,Medium
Honda,Civic,2020,Cooling System Issues,"Burning smell, Engine overheating, Coolant leakage",Replace water pump,$727,Medium
Hyundai,Sonata,2012,Engine Oil Leak,"Oil spots under the car, Low oil level",Replace gaskets,$329,Medium
Nissan,Patrol,2004,Suspension Issues,"Car vibration over bumps, Car swaying",Replace shock absorbers,$745,Hard
Honda,Civic,2021,Brake Issues,"Squeaking when braking, Increased stopping distance",Inspect brake system,$215,Medium
Nissan,Patrol,2018,Suspension Issues,"Car vibration over bumps, Squeaking noise from underneath",Inspect suspension system,$740,Hard
Hyundai,Sonata,2015,Suspension Issues,"Car vibration over bumps, Squeaking noise from underneath, Car swaying",Inspect suspension system,$496,Hard
Ford,F-150,2010,Faulty Spark Plugs,"Increased fuel consumption, Engine vibration",Replace spark plugs,$204,Easy
Kia,Sportage,2020,Exhaust System Issues,"Loud exhaust noise, Black smoke emission",Inspect exhaust system,$760,Hard
Mercedes,C-Class,2011,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard, Weak battery charging",Replace fuses,$326,Medium
Chevrolet,Camaro,2011,Faulty Spark Plugs,Poor acceleration,Replace spark plugs,$125,Easy
BMW,X5,2015,Exhaust System Issues,"Loud exhaust noise, Strong fuel smell",Inspect exhaust system,$1189,Hard
Ford,F-150,2013,Cooling System Issues,"Engine overheating, Coolant leakage",Inspect cooling system,$364,Medium
Toyota,Corolla,2015,Brake Issues,"Increased stopping distance, Steering wheel vibration",Replace brake pads,$163,Medium
Chevrolet,Camaro,2016,Exhaust System Issues,"Black smoke emission, Strong fuel smell",Replace catalytic converter,$718,Hard
Audi,A4,2015,Exhaust System Issues,"Black smoke emission, Strong fuel smell, Loud exhaust noise",Replace catalytic converter,$603,Hard
Kia,Sportage,2012,Engine Oil Leak,Oil spots under the car,Replace gaskets,$429,Medium
Toyota,Corolla,2021,Electrical System Issues,Weak battery charging,Replace fuses,$140,Medium
Toyota,Corolla,2021,Suspension Issues,"Car swaying, Squeaking noise from underneath",Inspect suspension system,$617,Hard
BMW,X5,2013,Faulty Spark Plugs,"Engine vibration, Poor acceleration",Replace spark plugs,$141,Easy
Audi,A4,2014,Engine Oil Leak,Burning smell,Replace gaskets,$264,Medium
Nissan,Patrol,2013,Cooling System Issues,"Coolant leakage, Burning smell, Engine overheating",Inspect cooling system,$628,Medium
Ford,F-150,2011,Dead Battery,Weak sound when starting,Replace the battery,$111,Easy
Ford,F-150,2007,Exhaust System Issues,Black smoke emission,Replace catalytic converter,$616,Hard
Audi,A4,2011,Engine Oil Leak,"Oil spots under the car, Low oil level, Burning smell",Replace gaskets,$547,Medium
Hyundai,Sonata,2020,Engine Oil Leak,"Low oil level, Oil spots under the car, Burning smell",Fix the leak,$218,Medium
Kia,Sportage,2011,Cooling System Issues,"Engine overheating, Coolant leakage, Burning smell",Replace water pump,$649,Medium
Audi,A4,2023,Brake Issues,"Steering wheel vibration, Squeaking when braking",Inspect brake system,$310,Medium
Hyundai,Sonata,2022,Suspension Issues,"Car vibration over bumps, Car swaying",Replace shock absorbers,$803,Hard
Mercedes,C-Class,2017,Tire Issues,"Low tire pressure, Uneven tire wear",Replace tires,$177,Easy
Kia,Sportage,2016,Electrical System Issues,"Warning light on dashboard, Failure to turn on lights, Weak battery charging",Replace fuses,$262,Medium
Nissan,Patrol,2005,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard, Weak battery charging",Inspect electrical wiring,$394,Medium
Chevrolet,Camaro,2022,Faulty Spark Plugs,"Increased fuel consumption, Poor acceleration",Replace spark plugs,$164,Easy
Nissan,Patrol,2006,Dead Battery,"Dim lights, Weak sound when starting",Charge the battery,$148,Easy
Audi,A4,2011,Engine Oil Leak,"Oil spots under the car, Burning smell",Replace gaskets,$311,Medium
Chevrolet,Camaro,2012,Cooling System Issues,Engine overheating,Inspect cooling system,$370,Medium
Mercedes,C-Class,2016,Exhaust System Issues,"Loud exhaust noise, Strong fuel smell",Replace catalytic converter,$928,Hard
Honda,Civic,2014,Electrical System Issues,"Warning light on dashboard, Failure to turn on lights",Replace fuses,$337,Medium
Mercedes,C-Class,2010,Tire Issues,"Low tire pressure, Car vibration",Replace tires,$135,Easy
Honda,Civic,2010,Electrical System Issues,Failure to turn on lights,Inspect electrical wiring,$441,Medium
Audi,A4,2014,Tire Issues,Uneven tire wear,Balance tires,$273,Easy
Nissan,Patrol,2006,Exhaust System Issues,"Strong fuel smell, Loud exhaust noise, Black smoke emission",Inspect exhaust system,$646,Hard
Nissan,Patrol,2021,Faulty Spark Plugs,"Engine vibration, Increased fuel consumption, Poor acceleration",Replace spark plugs,$179,Easy
BMW,X5,2014,Exhaust System Issues,"Black smoke emission, Loud exhaust noise, Strong fuel smell",Inspect exhaust system,$513,Hard
Audi,A4,2021,Dead Battery,"Car won't start, Dim lights, Weak sound when starting",Charge the battery,$178,Easy
Kia,Sportage,2020,Cooling System Issues,Engine overheating,Inspect cooling system,$760,Medium
Toyota,Corolla,2018,Brake Issues,Increased stopping distance,Replace brake pads,$348,Medium
BMW,X5,2021,Dead Battery,"Car won't start, Weak sound when starting",Replace the battery,$148,Easy
Hyundai,Sonata,2022,Brake Issues,Increased stopping distance,Inspect brake system,$380,Medium
Ford,F-150,2022,Faulty Spark Plugs,Poor acceleration,Replace spark plugs,$162,Easy
Hyundai,Sonata,2012,Cooling System Issues,"Coolant leakage, Engine overheating",Replace water pump,$668,Medium
Ford,F-150,2012,Suspension Issues,"Squeaking noise from underneath, Car vibration over bumps, Car swaying",Replace shock absorbers,$772,Hard
Audi,A4,2016,Cooling System Issues,Burning smell,Inspect cooling system,$800,Medium
Ford,F-150,2018,Brake Issues,"Increased stopping distance, Steering wheel vibration, Squeaking when braking",Replace brake pads,$288,Medium
Hyundai,Sonata,2022,Tire Issues,Uneven tire wear,Balance tires,$222,Easy
Toyota,Corolla,2019,Exhaust System Issues,"Loud exhaust noise, Black smoke emission",Inspect exhaust system,$1133,Hard
Kia,Sportage,2021,Exhaust System Issues,"Loud exhaust noise, Strong fuel smell",Replace catalytic converter,$891,Hard
Hyundai,Sonata,2022,Engine Oil Leak,Burning smell,Replace gaskets,$528,Medium
Audi,A4,2023,Cooling System Issues,Engine overheating,Replace water pump,$756,Medium
BMW,X5,2014,Suspension Issues,Car swaying,Inspect suspension system,$896,Hard
Honda,Civic,2020,Exhaust System Issues,"Loud exhaust noise, Black smoke emission, Strong fuel smell",Replace catalytic converter,$686,Hard
BMW,X5,2014,Electrical System Issues,"Failure to turn on lights, Weak battery charging",Inspect electrical wiring,$307,Medium
Ford,F-150,2018,Tire Issues,"Low tire pressure, Uneven tire wear, Car vibration",Balance tires,$70,Easy
Ford,F-150,2017,Engine Oil Leak,"Low oil level, Oil spots under the car, Burning smell",Fix the leak,$226,Medium
Nissan,Patrol,2021,Electrical System Issues,"Weak battery charging, Warning light on dashboard, Failure to turn on lights",Inspect electrical wiring,$411,Medium
Honda,Civic,2020,Tire Issues,Uneven tire wear,Balance tires,$290,Easy
Ford,F-150,2007,Exhaust System Issues,"Black smoke emission, Strong fuel smell, Loud exhaust noise",Replace catalytic converter,$870,Hard
Kia,Sportage,2010,Exhaust System Issues,"Loud exhaust noise, Strong fuel smell",Inspect exhaust system,$609,Hard
Chevrolet,Camaro,2018,Cooling System Issues,"Engine overheating, Coolant leakage",Replace water pump,$514,Medium
Audi,A4,2010,Suspension Issues,"Squeaking noise from underneath, Car vibration over bumps",Inspect suspension system,$629,Hard
Ford,F-150,2020,Dead Battery,Car won't start,Charge the battery,$130,Easy
Toyota,Corolla,2019,Faulty Spark Plugs,"Increased fuel consumption, Engine vibration, Poor acceleration",Replace spark plugs,$205,Easy
BMW,X5,2020,Dead Battery,Weak sound when starting,Charge the battery,$91,Easy
Toyota,Corolla,2020,Tire Issues,"Uneven tire wear, Car vibration, Low tire pressure",Replace tires,$102,Easy
Hyundai,Sonata,2018,Faulty Spark Plugs,"Poor acceleration, Engine vibration, Increased fuel consumption",Replace spark plugs,$138,Easy
Honda,Civic,2015,Brake Issues,"Increased stopping distance, Steering wheel vibration, Squeaking when braking",Replace brake pads,$324,Medium
Kia,Sportage,2023,Faulty Spark Plugs,"Engine vibration, Poor acceleration",Replace spark plugs,$151,Easy
Kia,Sportage,2018,Electrical System Issues,Failure to turn on lights,Replace fuses,$153,Medium
Ford,F-150,2018,Engine Oil Leak,Low oil level,Fix the leak,$264,Medium
Hyundai,Sonata,2022,Suspension Issues,"Car swaying, Car vibration over bumps, Squeaking noise from underneath",Replace shock absorbers,$432,Hard
Ford,F-150,2018,Brake Issues,"Increased stopping distance, Squeaking when braking, Steering wheel vibration",Inspect brake system,$398,Medium
Hyundai,Sonata,2015,Dead Battery,"Car won't start, Dim lights",Replace the battery,$198,Easy
Hyundai,Sonata,2010,Dead Battery,"Weak sound when starting, Dim lights, Car won't start",Replace the battery,$89,Easy
Honda,Civic,2023,Cooling System Issues,"Burning smell, Engine overheating",Replace water pump,$467,Medium
Toyota,Corolla,2023,Electrical System Issues,"Failure to turn on lights, Warning light on dashboard, Weak battery charging",Inspect electrical wiring,$120,Medium
Kia,Sportage,2012,Tire Issues,Car vibration,Replace tires,$241,Easy
Mercedes,C-Class,2022,Exhaust System Issues,"Strong fuel smell, Loud exhaust noise, Black smoke emission",Replace catalytic converter,$831,Hard
Nissan,Patrol,2009,Suspension Issues,Squeaking noise from underneath,Replace shock absorbers,$779,Hard
BMW,X5,2017,Exhaust System Issues,"Loud exhaust noise, Black smoke emission, Strong fuel smell",Inspect exhaust system,$599,Hard
Nissan,Patrol,2007,Dead Battery,Dim lights,Replace the battery,$106,Easy
Toyota,Corolla,2022,Faulty Spark Plugs,"Poor acceleration, Increased fuel consumption",Replace spark plugs,$170,Easy
Toyota,Corolla,2016,Electrical System Issues,Failure to turn on lights,Replace fuses,$429,Medium
Kia,Sportage,2015,Engine Oil Leak,Low oil level,Replace gaskets,$387,Medium
Chevrolet,Camaro,2023,Electrical System Issues,"Failure to turn on lights, Weak battery charging, Warning light on dashboard",Inspect electrical wiring,$121,Medium
Chevrolet,Camaro,2023,Exhaust System Issues,Strong fuel smell,Inspect exhaust system,$1094,Hard
Kia,Sportage,2010,Cooling System Issues,"Burning smell, Coolant leakage",Replace water pump,$537,Medium
Hyundai,Sonata,2012,Brake Issues,"Steering wheel vibration, Squeaking when braking",Inspect brake system,$200,Medium
Mercedes,C-Class,2010,Cooling System Issues,Burning smell,Inspect cooling system,$403,Medium
BMW,X5,2021,Cooling System Issues,Burning smell,Replace water pump,$769,Medium
Audi,A4,2017,Dead Battery,"Dim lights, Car won't start",Replace the battery,$157,Easy
Hyundai,Sonata,2014,Suspension Issues,"Car swaying, Squeaking noise from underneath, Car vibration over bumps",Inspect suspension system,$652,Hard
Nissan,Patrol,2010,Tire Issues,"Low tire pressure, Uneven tire wear",Replace tires,$269,Easy
Audi,A4,2017,Brake Issues,"Squeaking when braking, Increased stopping distance, Steering wheel vibration",Inspect brake system,$174,Medium
Nissan,Patrol,2006,Dead Battery,"Car won't start, Dim lights",Charge the battery,$192,Easy
Nissan,Patrol,2006,Suspension Issues,Squeaking noise from underneath,Inspect suspension system,$771,Hard
Honda,Civic,2021,Suspension Issues,"Squeaking noise from underneath, Car vibration over bumps, Car swaying",Replace shock absorbers,$418,Hard
Honda,Civic,2022,Faulty Spark Plugs,"Increased fuel consumption, Engine vibration",Replace spark plugs,$257,Easy
Chevrolet,Camaro,2022,Suspension Issues,Car swaying,Replace shock absorbers,$906,Hard
